Наименование продукции,Артикул,Минимальная стоимость для агента,Изображение,Тип продукции,Количество человек для производства,Номер цеха для производства
Кресло 49М Готика,414339,10786,отсутствует,Спальная мебель,1,6
Кровать 7М Готика,350515,4986,отсутствует,Мебель для столовой,2,2
Кровать 25М Готика,258695,3631,не указано,Спальная мебель,1,8
Кровать 17М Модерн,403054,5048,нет,Кухонная мебель,2,9
Кресло 14М Готика,310507,7846,отсутствует,Детская,1,3
Гарнитур 40М Готика,353930,12767,не указано,Мебель для столовой,2,8
Гарнитур 22М Классика,360424,13524,отсутствует,Спальная мебель,4,3
Кресло 13М Готика,349861,3842,не указано,Мебель для столовой,4,6
Кресло 7М Модерн,290729,6934,не указано,Кухонная мебель,4,4
Гарнитур 24М Модерн,374263,3907,отсутствует,Мебель для прихожей,5,9
Гарнитур 43М Авангард,330360,5867,нет,Спальная мебель,5,4
Кровать 33М Готика,297840,4611,отсутствует,Кухонная мебель,4,1
Гарнитур 12М Готика,349614,2551,furniture_3.jpg,Детская,1,7
Кресло 38М Модерн,416066,12175,нет,Спальная мебель,2,2
Кресло 20М Готика,285792,14370,отсутствует,Детская,3,7
Кресло 28М Авангард,298632,14671,не указано,Детская,4,4
Кресло 10М Авангард,446103,13975,нет,Мебель для прихожей,1,3
Гарнитур 22М Готика,443382,4501,отсутствует,Детская,3,5
Гарнитур 18М Модерн,331270,11171,отсутствует,Спальная мебель,4,8
